,DataSavedTime,Item005
0,2019-07-12 07:53:20.600,0.0
1,2019-07-12 07:53:20.700,16.35
2,2019-07-12 07:53:20.800,33.12
3,2019-07-12 07:53:20.900,33.12
4,2019-07-12 07:53:21.000,43.82
5,2019-07-12 07:53:21.100,50.03
6,2019-07-12 07:53:21.200,51.25
7,2019-07-12 07:53:21.300,51.25
8,2019-07-12 07:53:21.400,44.52
9,2019-07-12 07:53:21.500,45.98
10,2019-07-12 07:53:21.600,46.82
11,2019-07-12 07:53:21.700,46.82
12,2019-07-12 07:53:21.800,46.78
13,2019-07-12 07:53:21.900,46.78
14,2019-07-12 07:53:22.000,45.39
15,2019-07-12 07:53:22.100,45.81
16,2019-07-12 07:53:22.200,45.81
17,2019-07-12 07:53:22.300,46.84
18,2019-07-12 07:53:22.400,46.84
19,2019-07-12 07:53:22.500,45.6
20,2019-07-12 07:53:22.600,45.08
21,2019-07-12 07:53:22.700,45.08
22,2019-07-12 07:53:22.800,37.51
23,2019-07-12 07:53:22.900,34.24
24,2019-07-12 07:53:23.000,30.23
25,2019-07-12 07:53:23.100,26.87
26,2019-07-12 07:53:23.200,26.87
27,2019-07-12 07:53:23.300,25.6
28,2019-07-12 07:53:23.400,25.42
29,2019-07-12 07:53:23.500,25.74
30,2019-07-12 07:53:23.600,25.74
31,2019-07-12 07:53:23.700,25.73
32,2019-07-12 07:53:23.800,25.98
33,2019-07-12 07:53:23.900,25.98
34,2019-07-12 07:53:24.000,25.98
35,2019-07-12 07:53:24.100,25.85
36,2019-07-12 07:53:24.200,25.67
37,2019-07-12 07:53:24.300,25.67
38,2019-07-12 07:53:24.400,25.74
39,2019-07-12 07:53:24.500,25.74
40,2019-07-12 07:53:24.600,25.52
41,2019-07-12 07:53:24.700,25.75
42,2019-07-12 07:53:24.800,25.75
43,2019-07-12 07:53:24.900,25.62
44,2019-07-12 07:53:25.000,25.85
45,2019-07-12 07:53:25.100,25.85
46,2019-07-12 07:53:25.200,25.85
47,2019-07-12 07:53:25.300,25.6
48,2019-07-12 07:53:25.400,25.76
49,2019-07-12 07:53:25.500,25.76
50,2019-07-12 07:53:25.600,25.76
51,2019-07-12 07:53:25.700,25.74
52,2019-07-12 07:53:25.800,25.74
53,2019-07-12 07:53:25.900,25.64
54,2019-07-12 07:53:26.000,25.84
55,2019-07-12 07:53:26.100,25.84
56,2019-07-12 07:53:26.200,25.89
57,2019-07-12 07:53:26.300,25.89
58,2019-07-12 07:53:26.400,25.82
59,2019-07-12 07:53:26.500,25.87
60,2019-07-12 07:53:26.600,25.87
61,2019-07-12 07:53:26.700,25.77
62,2019-07-12 07:53:26.800,25.77
63,2019-07-12 07:53:26.900,25.93
64,2019-07-12 07:53:27.000,25.93
65,2019-07-12 07:53:27.100,25.67
66,2019-07-12 07:53:27.200,25.61
67,2019-07-12 07:53:27.300,25.65
68,2019-07-12 07:53:27.400,25.65
69,2019-07-12 07:53:27.500,25.35
